stop_id,stop_name,stop_lat,stop_lon,stop_code,tiploc_code,stop_desc,stop_timezone,wheelchair_boarding,platform_code,parent_station,location_type
9100STPLTNRDFL,Stapleton Road (Platform DFL),51.46750678691,-2.56621684378,SRD,STPLTNR,,Europe/London,0,DFL,910GSTPLTNR,0
9100STPX1A,London St. Pancras International (Platform 1A),51.53314038211012,-0.1280371229378342,STP,STPX,,Europe/London,0,1A,910GSTPX,0
9100STPX1B,London St. Pancras International (Platform 1B),51.53314038211012,-0.1280371229378342,STP,STPX,,Europe/London,0,1B,910GSTPX,0
9100STPX2A,London St. Pancras International (Platform 2A),51.53318579019037,-0.1280250750406934,STP,STPX,,Europe/London,0,2A,910GSTPX,0
9100STPX2B,London St. Pancras International (Platform 2B),51.53318579019037,-0.1280250750406934,STP,STPX,,Europe/London,0,2B,910GSTPX,0
9100STPX3A,London St. Pancras International (Platform 3A),51.53325309252771,-0.12792299862780013,STP,STPX,,Europe/London,0,3A,910GSTPX,0
9100STPX3B,London St. Pancras International (Platform 3B),51.53325309252771,-0.12792299862780013,STP,STPX,,Europe/London,0,3B,910GSTPX,0
9100STPX4B,London St. Pancras International (Platform 4B),51.53326083355144,-0.12787310338752322,STP,STPX,,Europe/London,0,4B,910GSTPX,0
9100STPXBOXBUS,London St Pancras International (Platform BUS),51.5318912,-0.1268506,SPL,STPXBOX,,Europe/London,1,BUS,910GSTPX,0
9100STPXBUS,London St Pancras International (Platform BUS),51.5318912,-0.1268506,STP,STPX,,Europe/London,1,BUS,910GSTPX,0
9100STRBDG11,Stourbridge Junction (Platform 1),52.4476157,-2.1340314,SBJ,STRBDG1,,Europe/London,0,1,910GSTRBDGJ,0
9100STRBDG12,Stourbridge Junction (Platform 2),52.44754188216,-2.13387628874,SBJ,STRBDG1,,Europe/London,0,2,910GSTRBDGJ,0
9100STRBDGJ1,Stourbridge Junction (Platform 1),52.44758686544,-2.13384699879,SBJ,STRBDGJ,,Europe/London,0,1,910GSTRBDGJ,0
9100STRBDGT1,Stourbridge Town (Platform 1),52.4555918,-2.1418921,SBT,STRBDGT,,Europe/London,0,1,910GSTRBDGT,0
9100STRETHMBUS,Streatham (Greater London) (Platform BUS),51.4259609,-0.1313131,STE,STRETHM,,Europe/London,1,BUS,910GSTRETHM,0
9100STRHCOMBUS,Streatham Common (Platform BUS),51.4185662,-0.1359263,SRC,STRHCOM,,Europe/London,1,BUS,910GSTRHCOM,0
9100STRHILLBUS,Streatham Hill (Platform BUS),51.4383281,-0.1277852,SRH,STRHILL,,Europe/London,1,BUS,910GSTRHILL,0
9100STROODBUS,Strood (Kent) (Platform BUS),51.3965972,0.5002689,SOO,STROOD,,Europe/London,1,BUS,910GSTROOD,0
9100STRUDBUS,Stroud (Gloucs) (Platform BUS),51.7444813,-2.2191762,STD,STRUD,,Europe/London,0,BUS,910GSTRUD,0
9100STTNPWY1,Sutton Parkway (Platform 1),53.1141408,-1.2455485,SPK,STTNPWY,,Europe/London,0,1,910GSTTNPWY,0
9100STTNPWY2,Sutton Parkway (Platform 2),53.1141408,-1.2455485,SPK,STTNPWY,,Europe/London,0,2,910GSTTNPWY,0
9100STTNPWYBUS,Sutton Parkway (Platform BUS),53.11409275702,-1.24556823649,SPK,STTNPWY,,Europe/London,0,BUS,910GSTTNPWY,0
9100STURRY1,Sturry (Platform 1),51.300986,1.1222644,STU,STURRY,,Europe/London,0,1,910GSTURRY,0
9100STURRY2,Sturry (Platform 2),51.300986,1.1222644,STU,STURRY,,Europe/London,0,2,910GSTURRY,0
9100STURRYBUS,Sturry (Platform BUS),51.300986,1.1222644,STU,STURRY,,Europe/London,0,BUS,910GSTURRY,0
9100STVNSTN1,Stevenston (Platform 1),55.6342495,-4.7501074,STV,STVNSTN,,Europe/London,1,1,910GSTVNSTN,0
9100STVNSTN2,Stevenston (Platform 2),55.6342495,-4.7501074,STV,STVNSTN,,Europe/London,1,2,910GSTVNSTN,0
9100STWRTBY1,Stewartby (Platform 1),52.0690354,-0.5207575,SWR,STWRTBY,,Europe/London,0,1,910GSTWRTBY,0
9100STWRTBY2,Stewartby (Platform 2),52.0690354,-0.5207575,SWR,STWRTBY,,Europe/London,0,2,910GSTWRTBY,0
9100STYAL1,Styal (Platform 1),53.3485037,-2.2404522,SYA,STYAL,,Europe/London,0,1,910GSTYAL,0
9100STYAL2,Styal (Platform 2),53.3485037,-2.2404522,SYA,STYAL,,Europe/London,0,2,910GSTYAL,0
9100SUDBURY1,Sudbury (Suffolk) (Platform 1),52.0362647,0.7355732,SUY,SUDBURY,,Europe/London,1,1,910GSUDBURY,0
9100SUMRSTN1,Summerston (Platform 1),55.8988407,-4.2921881,SUM,SUMRSTN,,Europe/London,0,1,910GSUMRSTN,0
