stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
ACHNSHN,ACN,Achnasheen Rail Station,,57.57928965421,-5.07233213915
ACKLNGT,ACK,Acklington Rail Station,,55.3070982414,-1.65183461346
ACLE,ACL,Acle Rail Station,,52.63468201731,1.54391527585
ACOCKSG,ACG,Acocks Green Rail Station,,52.44932277674,-1.81897541144
ACRNGTN,ACR,Accrington Rail Station,,53.75297118076,-2.36954777807
ACTCWHF,,ACTON CANAL WHARF,,51.5296201182486,-0.254547549730143
ACTNCTL,ACC,Acton Central Rail Station,,51.50871627818,-0.26297061476
ACTNLRG,,ACTON LANE REC SDGS GBRF,,51.5334089467912,-0.251500183624956
ACTNLRS,,ACTON LANE RECEPTION SDGS,,51.5333987972619,-0.251489258632815
ACTO177,,ACTON SIG. SN177,,,
ACTOEWS,,ACTON YARD (EWS),,51.5169621833903,-0.267837135576892
ACTOGBR,,ACTON YARD GBRF,,51.5164226568992,-0.274721783832759
ACTOLHS,,ACTON LOCO HOLDING SIDINGS,,51.5169621833903,-0.267837135576892
ACTONFY,,FOSTER YEOMAN,,51.5171995437521,-0.270963348143706
ACTONML,AML,Acton Main Line Rail Station,,51.51718014558,-0.26675636171
ACTONTC,XAX,ACTON(ML) MARSHALLING YARD,,51.5163765542766,-0.274982573070723
ACTONTN,,ACTON TOWN UND,,51.5027333837738,-0.281114211587949
ACTONW,,EALING BROADWAY,,51.514710953653,-0.300840583700962
ACTRNED,,ACHTERNEED,,57.6027695,-4.5286263
ACWL105,,ACTON WELLS SIGNAL AW105,,51.5008471316885,-0.268419621761046
ACWL149,,ACTON WELLS JN SIG AW149,,51.5227407526041,-0.25484605190596
ACWL150,,ACTON WELLS JN SIG AW150,,51.5227407526041,-0.25484605190596
ACWLJN,,ACTON WELLS JUNCTION,,51.5227444937528,-0.254867621315038
ADERLYP,ADD,Adderley Park Rail Station,,52.4830859425,-1.85594442017
ADIEWEL,ADW,Addiewell Rail Station,,55.8434089458,-3.60652641249
ADISHAM,ADM,Adisham Rail Station,,51.24120153594,1.19908926763
ADLC,ADC,Adlington (Cheshire) Rail Station,,53.31955397865,-2.13356247282
ADLESTJ,,ADDLESTONE JUNCTION,,51.3617517424453,-0.472824019303489
ADLESTN,ASN,Addlestone Rail Station,,51.37304566372,-0.48445671716
ADNL,ADL,Adlington (Lancs) Rail Station,,53.61324428059,-2.60307081313
ADSWDRD,,ADSWOOD ROAD JN,,53.3868880105249,-2.17620922106047
ADWICK,AWK,Adwick Rail Station,,53.57232071859,-1.18035620719
ADWICKJ,,ADWICK JN,,53.5796327253861,-1.19710116389507
AGCRFTJ,,AGECROFT JN,,53.5030248750219,-2.29442878649401
AGHTNPH,AUG,Aughton Park Rail Station,,53.55424741626,-2.89522081448
AIGBURT,AIG,Aigburth Rail Station,,53.36456492063,-2.92715492547
AINSDAL,ANS,Ainsdale Rail Station,,53.60203225634,-3.04265200904
AINT206,,AINTREE SIGNAL 1206,,53.47868522667,-2.95518774388977
AINTREE,AIN,Aintree Rail Station,,53.47390962432,-2.9562803142
AINTSFJ,,AINTREE SEFTON JUNCTION,,53.4739126344477,-2.95630014616062
AIRBLES,AIR,Airbles Rail Station,,55.78283310401,-3.994192441
AIRD754,,AIRDRIE,,55.8637795630686,-3.98667010087824
AIRDCS,,AIRDRIE C.S.,,55.863934747881,-3.98195660528556
AIRDRIE,ADR,Airdrie Rail Station,,55.86397879776,-3.98291206378
AIRP,APN,Newcastle Airport Metro Station,,55.03594906574,-1.71104650989
AISGILL,,AIS GILL SIGNAL BOX,,54.3695420936515,-2.34431718484153
AISHXO,,AISH EMERGENCY CROSSOVER,,50.423081476248,-3.84582540569852
ALBION,,ALBION,,52.5159971745934,-2.02647562698968
ALBNFCL,,ALBANY PARK,,51.4357987653072,0.126426751322844
ALBNHRC,,ALBANY PARK,,51.4357987653072,0.126426751322844
ALBNHV,,ALBANY PARK,,51.4357987653072,0.126426751322844
ALBNYPK,AYP,Albany Park Rail Station,,51.43545265496,0.12573715609
ALBRGHT,ALB,Albrighton Rail Station,,52.63794224624,-2.26889994437
ALBURGH,,ALDEBURGH-BUS 64,,52.1508834097555,1.6004053926859
